model	params (M)	test MAE (eV)	test RMSE (eV)
ablate_local_only	0.093	1.3973	2.0274
ablate_no_lattice	0.198	1.6792	2.3537
ablate_no_virtual	0.202	1.6826	2.3339
baseline	0.198	0.8621	1.5216
baseline_aug	0.198	0.5112	0.7227
baseline_aug_long	0.198	0.4156	0.5955
baseline_aug_long_safe	0.198	0.6277	1.2516
baseline_aug_safe	0.198	0.6718	1.2461
baseline_aug_seed0	0.198	0.6815	0.9610
baseline_aug_seed1	0.198	0.5450	0.8611
baseline_aug_seed2	0.198	0.4761	0.7158
baseline_aug_seed3	0.198	0.5131	0.7632
baseline_h128	1.060	1.8156	2.5060
baseline_h128_aug	1.060	1.4734	1.9917
baseline_h128_aug_long	0.747	0.2058	0.3100
baseline_h128_aug_long_safe	0.747	0.5161	1.1314
baseline_h128_aug_long_safe_seed0	0.747	0.5332	1.1701
baseline_h128_aug_long_safe_seed1	0.747	0.5450	1.2019
baseline_h128_aug_long_safe_seed2	0.747	0.5517	1.1735
baseline_h128_aug_long_seed0	0.747	0.3172	0.4731
baseline_h128_aug_long_seed1	0.747	0.2604	0.4970
baseline_h128_aug_long_seed2	0.747	0.2965	0.4281
baseline_h128_aug_long_seed3	0.747	0.2393	0.3904
baseline_h128_aug_xlong_safe	0.747	0.4780	1.1458
baseline_h128_aug_xlong_safe_seed0	0.747	0.5036	1.1637
baseline_h128_long	0.747	0.6221	1.1667
baseline_h192_aug_long_safe	2.338	0.6736	1.2910
baseline_long	0.198	0.7371	1.3285
dast_dense	0.202	1.4857	2.1149
dast_dense_aug	0.202	0.5150	0.7444
improved	0.202	1.8269	2.5538
